trials,mode,N,curvature,loss_mm,alpha,ell_um,det_x_um,det_y_um,det_z_um,node_radius_um,kappa_sigma,emit_photons_total_mean,emit_photons_total_sem,det_photons_total_mean,det_photons_total_sem,snr_mean,snr_sem,R_before_mean,R_before_sem,R_after_mean,R_after_sem,sync_gain_mean,sync_gain_sem,mean_phase_reset_mean,mean_phase_reset_sem
12,hypothesis,24,0.8,3.0,0.1,5.0,0.0,0.0,0.0,6.0,0.05,149113.13264001202,911.0689099139718,35312.86551631391,222.07230863143687,187.9069368038729,0.5915017174515886,0.1736383493858782,0.023645646487423976,0.2532733690904025,0.03589151090951399,0.07963501970452434,0.0350917478777999,0.2330903787194961,0.008322132365834237
12,antithesis,24,0.8,3.0,0.1,5.0,0.0,0.0,0.0,6.0,0.05,79957.90516946197,637.3184522800243,18935.365227386646,153.92235618950636,137.5934917120178,0.5556540520804639,0.1736383493858782,0.023645646487423976,0.2551848567634888,0.036151588131956285,0.08154650737761064,0.035348615551018224,0.23598631520191485,0.008495059476389817
12,hypothesis,24,0.8,3.0,0.1,8.0,0.0,0.0,0.0,6.0,0.05,180424.61978749672,886.9440861882075,42726.62959305722,217.68966808432097,206.6968112289821,0.5272415892484305,0.1736383493858782,0.023645646487423976,0.2558919073134049,0.03629436716005155,0.08225355792752673,0.03560118146789304,0.2383065780035725,0.008673992079220944
12,antithesis,24,0.8,3.0,0.1,8.0,0.0,0.0,0.0,6.0,0.05,96751.38616486861,655.3389698998341,22911.646255935015,158.7119792330564,151.35606930146537,0.5210602255386795,0.1736383493858782,0.023645646487423976,0.2573632341614976,0.036499986589416236,0.08372488477561944,0.03577278208374289,0.24068568937735627,0.008758572899630548
12,hypothesis,24,0.8,3.0,0.1,12.0,0.0,0.0,0.0,6.0,0.05,205528.33562987891,760.2323905139086,48669.79712485694,188.6999724122613,220.6077518747621,0.4282031612499113,0.1736383493858782,0.023645646487423976,0.2584273548586293,0.03663135624117168,0.08478900547275109,0.03604383745510086,0.2433652100400572,0.008944279527514764
12,antithesis,24,0.8,3.0,0.1,12.0,0.0,0.0,0.0,6.0,0.05,110217.80466121114,614.3407019321105,26099.756201221706,149.2947561286893,161.54700576956986,0.4593600200553396,0.1736383493858782,0.023645646487423976,0.25954874004182993,0.03679930292420131,0.0859103906559518,0.03616598634067009,0.24516105273167574,0.009019057934269
12,hypothesis,24,0.8,3.0,0.1,20.0,0.0,0.0,0.0,6.0,0.05,231241.5691959844,564.0961946554927,54756.73431460708,143.06565152602911,233.999368574386,0.3059740327276684,0.1736383493858782,0.023645646487423976,0.2611321677785078,0.036960726187154895,0.0874938183926296,0.036479387153311275,0.24873873343887365,0.009208737962930197
12,antithesis,24,0.8,3.0,0.1,20.0,0.0,0.0,0.0,6.0,0.05,124012.70875246082,539.2918103746849,29365.348685382753,131.5838542736599,171.35852774633398,0.3818202565755366,0.1736383493858782,0.023645646487423976,0.2618188808964298,0.03710254603680599,0.08818053151055161,0.03655928643265118,0.24974778294267366,0.009282063844063717
12,hypothesis,24,0.8,3.0,0.2,5.0,0.0,0.0,0.0,6.0,0.05,212591.8161617225,1846.4552174564967,50349.329213923054,446.3601449527191,224.3622662107798,0.9955681103688868,0.1736383493858782,0.023645646487423976,0.24933306510929676,0.03536326544605003,0.0756947157234186,0.034335632065408135,0.225125115018609,0.00786184311251116
12,antithesis,24,0.8,3.0,0.2,5.0,0.0,0.0,0.0,6.0,0.05,113986.77230482927,1201.3836334911373,26995.944196201042,288.97610464757065,164.27888687588054,0.8734218403228502,0.1736383493858782,0.023645646487423976,0.2508284003561961,0.03557890631942175,0.0771900509703179,0.034545143893942316,0.22790018405367607,0.0078112712988608396
12,hypothesis,24,0.8,3.0,0.2,8.0,0.0,0.0,0.0,6.0,0.05,275214.79045669193,1793.7366948545655,65176.857367409655,436.51424214028555,255.28179868348136,0.8560282565515527,0.1736383493858782,0.023645646487423976,0.25336341507898347,0.03599173167570004,0.07972506569310528,0.03514862552834149,0.2332824717225165,0.00839066024486886
12,antithesis,24,0.8,3.0,0.2,8.0,0.0,0.0,0.0,6.0,0.05,147573.73429564256,1232.9602423800038,34948.506253297775,297.5755768340588,186.92679143460762,0.7909083995042789,0.1736383493858782,0.023645646487423976,0.2544842830805551,0.03612981893010687,0.08084593369467695,0.035268706585150855,0.2355605395875723,0.008277118565005667
12,hypothesis,24,0.8,3.0,0.2,12.0,0.0,0.0,0.0,6.0,0.05,325422.22214145627,1533.196226642335,77063.19243100913,376.899302949492,277.5934248471894,0.679766832814731,0.1736383493858782,0.023645646487423976,0.2567944295078414,0.03645455216279602,0.08315608012196324,0.035765258849975536,0.24018198234808205,0.00875260955596933
12,antithesis,24,0.8,3.0,0.2,12.0,0.0,0.0,0.0,6.0,0.05,174506.5712883276,1144.8836562516817,41324.72614387118,277.43106460167513,203.27239106835637,0.6783116087589878,0.1736383493858782,0.023645646487423976,0.2577447855184169,0.036555157086870155,0.0841064361325387,0.03585051008082047,0.242081143690597,0.008656428834560387
12,hypothesis,24,0.8,3.0,0.2,20.0,0.0,0.0,0.0,6.0,0.05,376848.68927366723,1125.6953517014003,89237.06681050936,282.3227005342917,298.72161790527997,0.4730756581164018,0.1736383493858782,0.023645646487423976,0.2603096850709323,0.036879968571805616,0.08667133568505404,0.03634379565589664,0.24715647701168886,0.009081846495764517
