trials,mode,N,curvature,loss_mm,alpha,ell_um,det_x_um,det_y_um,det_z_um,node_radius_um,emit_photons_total_mean,emit_photons_total_sem,det_photons_total_mean,det_photons_total_sem,snr_mean,snr_sem,R_before_mean,R_before_sem,R_after_mean,R_after_sem,sync_gain_mean,sync_gain_sem,mean_phase_reset_mean,mean_phase_reset_sem
12,hypothesis,12,0.8,3.0,0.1,5.0,0.0,0.0,20.0,12.0,9776.860882868437,66.2082898162769,2.03260958878417,5.5860694043111906e-05,1.4256926683586766,1.9590544024566295e-05,0.26803775307681565,0.028244876610746945,0.281489410023612,0.035563263886275946,0.013451656946796347,0.016952368128723666,0.12232146845725388,0.004803469397839223
12,antithesis,12,0.8,3.0,0.1,5.0,0.0,0.0,20.0,12.0,5233.143403641786,35.43851950737801,2.0262361278685703,0.00010371195214002761,1.423455694189359,3.642902593505229e-05,0.26803775307681565,0.028244876610746945,0.281489410023612,0.035563263886275946,0.013451656946796347,0.016952368128723666,0.12232146845725385,0.0048034693978392246
12,hypothesis,12,0.8,3.0,0.1,8.0,0.0,0.0,20.0,12.0,10951.586218502676,87.99585980984057,2.033398477534836,5.850399020101705e-05,1.4259693099625725,2.0513584428606487e-05,0.26803775307681565,0.028244876610746945,0.2811563741147638,0.03555962406190245,0.013118621037948155,0.016924430748199607,0.12176397872028467,0.004806195015544387
12,antithesis,12,0.8,3.0,0.1,8.0,0.0,0.0,20.0,12.0,5861.9245855482595,47.10049154105894,2.027701240097399,0.00010869215666195799,1.4239702328787784,3.816456291292819e-05,0.26803775307681565,0.028244876610746945,0.28115637411476385,0.03555962406190245,0.013118621037948155,0.016924430748199607,0.12176397872028467,0.004806195015544386
12,hypothesis,12,0.8,3.0,0.1,12.0,0.0,0.0,20.0,12.0,12206.28099817689,93.08691708764886,2.03407551815646,5.043482005841474e-05,1.426206687253533,1.768133317811974e-05,0.26803775307681565,0.028244876610746945,0.2812415816991883,0.03562589211315918,0.013203828622372635,0.01700527809727038,0.12228930706627068,0.004819479461559779
12,antithesis,12,0.8,3.0,0.1,12.0,0.0,0.0,20.0,12.0,6533.51005541428,49.825520886378754,2.028959402337866,9.375408822567883e-05,1.4244119454967687,3.290932792005736e-05,0.26803775307681565,0.028244876610746945,0.2812415816991883,0.03562589211315918,0.013203828622372635,0.01700527809727038,0.12228930706627068,0.00481947946155978
12,hypothesis,12,0.8,3.0,0.1,20.0,0.0,0.0,20.0,12.0,13800.198699049766,82.5563420181747,2.034759319605078,3.64562185246964e-05,1.4264463950173514,1.277862656269704e-05,0.26803775307681565,0.028244876610746945,0.2815383212805971,0.035762258013034655,0.013500568203781399,0.017206440326351567,0.12372754563595091,0.004879721577626534
12,antithesis,12,0.8,3.0,0.1,20.0,0.0,0.0,20.0,12.0,7386.6673215554665,44.18894590371367,2.030230859913822,6.780786127523547e-05,1.4248581872366,2.379439686930734e-05,0.26803775307681565,0.028244876610746945,0.2815383212805971,0.035762258013034655,0.013500568203781399,0.017206440326351567,0.12372754563595091,0.004879721577626534
12,hypothesis,12,0.8,3.0,0.2,5.0,0.0,0.0,20.0,12.0,10989.150446366672,132.41657963255386,2.033415187886122,8.28962277692629e-05,1.4259751676106054,2.9066077256251285e-05,0.26803775307681565,0.028244876610746945,0.28063392644804447,0.03515360801707183,0.012596173371228763,0.01631982579397116,0.11776836931858371,0.0046474577894945485
12,antithesis,12,0.8,3.0,0.2,5.0,0.0,0.0,20.0,12.0,5882.031140567757,70.87703901475588,2.027732314782274,0.0001540148936273024,1.4239811384507366,5.40774975101685e-05,0.26803775307681565,0.028244876610746945,0.28063392644804447,0.03515360801707183,0.012596173371228767,0.016319825793971166,0.11776836931858371,0.004647457789494548
12,hypothesis,12,0.8,3.0,0.2,8.0,0.0,0.0,20.0,12.0,13338.601117635148,175.99171961968096,2.0345703185440236,7.500305572528825e-05,1.4263801425250338,2.6291093851310386e-05,0.26803775307681565,0.028244876610746945,0.2802739432707821,0.03522155002667084,0.012236190193966425,0.016390121002924044,0.11769561009877823,0.004683281833340631
12,antithesis,12,0.8,3.0,0.2,8.0,0.0,0.0,20.0,12.0,7139.593504380707,94.20098308211766,2.0298793926938816,0.00013948521023517718,1.4247348407285363,4.8950232337613094e-05,0.26803775307681565,0.028244876610746945,0.2802739432707821,0.03522155002667084,0.01223619019396642,0.016390121002924044,0.11769561009877823,0.004683281833340631
12,hypothesis,12,0.8,3.0,0.2,12.0,0.0,0.0,20.0,12.0,15847.990676983578,186.17383417529834,2.035429919574773,5.7077399499294325e-05,1.4266814343862502,2.0003392719193816e-05,0.26803775307681565,0.028244876610746945,0.2805294415876419,0.03536417390139797,0.012491688510826297,0.01658414837320491,0.11907250685113774,0.004712720527213789
12,antithesis,12,0.8,3.0,0.2,12.0,0.0,0.0,20.0,12.0,8482.764444112743,99.65104177275738,2.0314785152278816,0.0001062246413516763,1.4252959341844944,3.726350336157549e-05,0.26803775307681565,0.028244876610746945,0.2805294415876419,0.03536417390139797,0.012491688510826292,0.01658414837320491,0.11907250685113772,0.0047127205272137875
12,hypothesis,12,0.8,3.0,0.2,20.0,0.0,0.0,20.0,12.0,19035.826078729326,165.11268403634944,2.0361964050214953,3.63700533009929e-05,1.4269500353145246,1.2743922143178296e-05,0.26803775307681565,0.028244876610746945,0.2810489105952331,0.03558958860554468,0.013011157518417499,0.016926397662917467,0.12158813320853244,0.004806427858722979
