trials,mode,N,curvature,loss_mm,alpha,ell_um,det_x_um,det_y_um,det_z_um,node_radius_um,kappa_sigma,win_ns,emit_photons_total_mean,emit_photons_total_sem,det_photons_total_mean,det_photons_total_sem,gate_photons_mean,gate_photons_sem,coincidence_ratio_mean,coincidence_ratio_sem,peak_sharpness_mean,peak_sharpness_sem,p2rms_mean,p2rms_sem,snr_mean,snr_sem,R_before_mean,R_before_sem,R_after_mean,R_after_sem,sync_gain_mean,sync_gain_sem,mean_phase_reset_mean,mean_phase_reset_sem
12,hypothesis,24,0.8,3.0,0.1,5.0,0.0,0.0,0.0,6.0,0.05,0.2,149104.23503090875,911.1813468991826,35310.75836171784,222.09839280647682,35308.93238512264,222.08923582046612,0.9999482836702808,3.3045882338288793e-07,117.98964775480073,0.1342093049693239,13.230294112595844,0.008737053565195144,187.89646810289537,0.5915818222257945,0.18625454102569283,0.02668695314673208,0.35721833352569043,0.03235787022791727,0.1709637924999976,0.040762669913572205,3.3282604022692017,0.09841060804346488
12,antithesis,24,0.8,3.0,0.1,5.0,0.0,0.0,0.0,6.0,0.05,0.2,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,1289.2982733882716,15.370651384886207,0.10183493109609167,0.00043989239827989,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,35.899741686985564,0.21464986118668355,0.14865246344603775,0.037554837540456104,0.5133678189401012,0.043210175811179724,0.3647153554940635,0.053775768405509614,0.841017861264286,0.017961319008742656
12,hypothesis,24,0.8,3.0,0.1,8.0,0.0,0.0,0.0,6.0,0.05,0.2,180413.84809188553,887.106563244354,42724.078717244265,217.72730299363744,42721.86937040739,217.71905929231278,0.9999482839569745,3.2907505712703434e-07,117.98876153767822,0.13368760415755093,13.230241979541256,0.008702451336880742,206.68529305108453,0.5273438407972569,0.18625454102569283,0.02668695314673208,0.3572238701895348,0.03235937495529797,0.170969329163842,0.04076331775959505,3.3282435356457523,0.09839891026635396
12,antithesis,24,0.8,3.0,0.1,8.0,0.0,0.0,0.0,6.0,0.05,0.2,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,1289.2982733882716,15.370651384886207,0.10183493109609167,0.00043989239827989,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,35.899741686985564,0.21464986118668355,0.14865246344603775,0.037554837540456104,0.5133678189401012,0.043210175811179724,0.3647153554940635,0.053775768405509614,0.841017861264286,0.017961319008742656
12,hypothesis,24,0.8,3.0,0.1,12.0,0.0,0.0,0.0,6.0,0.05,0.2,205516.06008075134,760.4506894469324,48666.89023285339,188.7503890420488,48664.37350538467,188.74421918389083,0.9999482834437856,3.2777285563371877e-07,117.98794707888896,0.13307401939793498,13.230194203202077,0.008662185020736166,220.59545640390255,0.42832860522489213,0.18625454102569283,0.02668695314673208,0.3572281093902588,0.03236115520437572,0.170973568364566,0.04076449494324181,3.3282280807099855,0.09838820910315849
12,antithesis,24,0.8,3.0,0.1,12.0,0.0,0.0,0.0,6.0,0.05,0.2,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,1289.2982733882716,15.370651384886207,0.10183493109609167,0.00043989239827989,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,35.899741686985564,0.21464986118668355,0.14865246344603775,0.037554837540456104,0.5133678189401012,0.043210175811179724,0.3647153554940635,0.053775768405509614,0.841017861264286,0.017961319008742656
12,hypothesis,24,0.8,3.0,0.1,20.0,0.0,0.0,0.0,6.0,0.05,0.2,231227.75234951952,564.3936962039011,54753.46257460909,143.13388341034013,54750.63099358685,143.13069980077017,0.9999482826449472,3.264422837156969e-07,117.987121055361,0.1323983238723715,13.230145779736004,0.008618043780218661,233.9863246365884,0.30613078665539806,0.18625454102569283,0.02668695314673208,0.3572320043559594,0.03236317093097788,0.17097746333026656,0.040765988690899535,3.3282124523759555,0.09837747939979312
12,antithesis,24,0.8,3.0,0.1,20.0,0.0,0.0,0.0,6.0,0.05,0.2,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,1289.2982733882716,15.370651384886207,0.10183493109609167,0.00043989239827989,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,35.899741686985564,0.21464986118668355,0.14865246344603775,0.037554837540456104,0.5133678189401012,0.043210175811179724,0.3647153554940635,0.053775768405509614,0.841017861264286,0.017961319008742656
12,hypothesis,24,0.8,3.0,0.2,5.0,0.0,0.0,0.0,6.0,0.05,0.2,212579.14131577953,1846.571330827653,50346.32735511491,446.38695642738037,50343.723994116684,446.366993162571,0.9999482846610858,3.330675706957909e-07,117.99115729720116,0.1355570599658897,13.230381311762686,0.008825497321453803,224.34977077620658,0.9956426328685862,0.18625454102569283,0.02668695314673208,0.3572095647577258,0.032354291686993546,0.17095502373203297,0.04076032999451705,3.3282891377286923,0.09843177338893636
12,antithesis,24,0.8,3.0,0.2,5.0,0.0,0.0,0.0,6.0,0.05,0.2,53461.11846199681,495.058140589411,12657.958539754594,116.8290417925696,1289.2982733882716,15.370651384886207,0.10183493109609167,0.00043989239827989,5.384204885248451,0.02477872324707642,3.318681544885156,0.00822706208799553,35.899741686985564,0.21464986118668355,0.14865246344603775,0.037554837540456104,0.5133678189401012,0.043210175811179724,0.3647153554940635,0.053775768405509614,0.841017861264286,0.017961319008742656
