mode,seed,snr,score,R_before,R_after,dR,CR,p2r,gateN
hypothesis,1001,21.876975088116843,13.260924259986336,0.22386796050542052,0.4943333777498505,0.27046541724442996,0.9999488657068758,13.261602173738414,2293.847441370371
hypothesis,1002,21.876946707661517,13.252357722797182,0.22384269266212226,0.4959715178775087,0.2721288252153864,0.9999488699545638,13.253035074885442,2293.84148994154
hypothesis,2001,21.87687718158051,13.250505026564737,0.2237428050010259,0.5023017459821202,0.27855894098109424,0.99994902931163,13.251180249954682,2293.826910187113
hypothesis,2002,21.876943856621224,13.257464773970383,0.2245205250721648,0.5007528526966403,0.27623232762447547,0.9999487876887233,13.258143543372602,2293.8408921760556
hypothesis,3001,21.876997937400812,13.260744234340558,0.22315026730386214,0.4943721187090113,0.2712218514051492,0.9999488739194267,13.261421975504307,2293.852233159633
antithesis,1001,4.906267936598076,0.32994032251228855,0.22386796050542052,0.3634634256750776,0.1395954651696571,0.10024062064251252,3.28207920143083,116.18696626424435
antithesis,1002,4.8690319232317965,0.3275437059931041,0.22384269266212226,0.3635650250247856,0.13972233236266335,0.09981797632162787,3.273997056947625,114.3933194900672
antithesis,2001,4.858515272566363,0.32735978925320197,0.2237428050010259,0.3732234497961938,0.14948064479516793,0.09979589047139806,3.2721352065406295,114.19150226274022
antithesis,2002,4.856806818744261,0.32954724192069074,0.2245205250721648,0.37268834010377205,0.14816781503160725,0.10015884811960277,3.2813843871912116,113.89036585473639
antithesis,3001,4.835529856127809,0.3245731411728403,0.22315026730386214,0.35295676366138284,0.12980649635752073,0.09922622076454457,3.2639483273303282,112.84767719776161
