trials,mode,curvature,loss_mm,distance_um,emit_photons_mean,emit_photons_sem,det_photons_mean,det_photons_sem,snr_mean,snr_sem,motor_net_steps_mean,motor_net_steps_sem,photon_peak_mean,photon_peak_sem,cilia_phase_reset_mean,cilia_phase_reset_sem,spindle_metric_mean,spindle_metric_sem
24,hypothesis,0.8,3.0,5.0,713.7142766141839,0.0,1.9476616131621267,0.0,1.3955828937091017,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,3.0,5.0,382.02130555965124,0.0,1.8740115599119422,0.0,1.368941766462439,4.629950069047757e-17,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,3.0,10.0,713.7142766141839,0.0,1.9463301744792896,0.0,1.39510579331127,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,3.0,10.0,382.02130555965124,0.0,1.8717099127084345,0.0,1.3681008415909484,0.0,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,3.0,20.0,713.7142766141839,0.0,1.9436122890957128,0.0,1.3941313744217807,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,3.0,20.0,382.02130555965124,0.0,1.867019304765283,4.629950069047757e-17,1.3663854890984624,0.0,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,3.0,35.0,713.7142766141839,0.0,1.9393945621993212,0.0,1.392617880917405,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,3.0,35.0,382.02130555965124,0.0,1.8597608303568993,0.0,1.363726816635454,0.0,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,3.0,50.0,713.7142766141839,0.0,1.9350022465363772,0.0,1.3910399874151915,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,3.0,50.0,382.02130555965124,0.0,1.8522284136975466,0.0,1.3609623116572829,0.0,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,5.0,5.0,713.7142766141839,0.0,1.9467760054650693,0.0,1.395265568096782,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,5.0,5.0,382.02130555965124,0.0,1.872480337686724,0.0,1.3683823799436066,0.0,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,5.0,10.0,713.7142766141839,0.0,1.944526477476549,0.0,1.3944592061182626,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,5.0,10.0,382.02130555965124,0.0,1.868595874530793,0.0,1.3669622798688732,4.629950069047757e-17,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,5.0,20.0,713.7142766141839,0.0,1.9398717057049144,0.0,1.3927891820934224,4.629950069047757e-17,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,5.0,20.0,382.02130555965124,0.0,1.8605807140448671,4.629950069047757e-17,1.3640273875911044,0.0,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,5.0,35.0,713.7142766141839,0.0,1.932484304002502,0.0,1.3901346352257569,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,5.0,35.0,382.02130555965124,0.0,1.8479225184036736,4.629950069047757e-17,1.3593794608047414,4.629950069047757e-17,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,5.0,50.0,713.7142766141839,0.0,1.9245842923907406,0.0,1.38729026971384,4.629950069047757e-17,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,5.0,50.0,382.02130555965124,0.0,1.8344699263848099,0.0,1.3544223589557731,0.0,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
