trials,mode,curvature,loss_mm,distance_um,emit_photons_mean,emit_photons_sem,det_photons_mean,det_photons_sem,snr_mean,snr_sem,motor_net_steps_mean,motor_net_steps_sem,photon_peak_mean,photon_peak_sem,cilia_phase_reset_mean,cilia_phase_reset_sem,spindle_metric_mean,spindle_metric_sem
16,hypothesis,0.0,5.0,10.0,509.79591186727424,0.0,29.095972311499438,0.0,5.3940673254514415,0.0,-9.25,13.505400154506098,9.045469435032136e-06,0.0,0.6251473373093197,0.0,9.230289366831015e-06,0.0
16,antithesis,0.0,5.0,10.0,993.2553944550932,0.0,56.688825434984885,0.0,7.529197529284688,0.0,180.0,14.564797744333195,7.095511407607802e-07,0.0,0.025157010770854648,0.0,9.230289366831015e-06,0.0
16,hypothesis,0.0,5.0,50.0,509.79591186727424,0.0,23.821767322130047,0.0,4.880753765775758,0.0,-9.25,13.505400154506098,9.045469435032136e-06,0.0,0.6251473373093197,0.0,9.230289366831015e-06,0.0
16,antithesis,0.0,5.0,50.0,993.2553944550932,0.0,46.412884739491425,0.0,6.812699519242983,0.0,180.0,14.564797744333195,7.095511407607802e-07,0.0,0.025157010770854648,0.0,9.230289366831015e-06,0.0
16,hypothesis,0.0,5.0,100.0,509.79591186727424,0.0,18.552411044619685,0.0,4.307249823799993,0.0,-9.25,13.505400154506098,9.045469435032136e-06,0.0,0.6251473373093197,0.0,9.230289366831015e-06,0.0
16,antithesis,0.0,5.0,100.0,993.2553944550932,0.0,36.14639097971878,0.0,6.01218604001253,0.0,180.0,14.564797744333195,7.095511407607802e-07,0.0,0.025157010770854648,0.0,9.230289366831015e-06,0.0
16,hypothesis,0.0,10.0,10.0,509.79591186727424,0.0,27.676944997156323,0.0,5.260887282308939,0.0,-9.25,13.505400154506098,9.045469435032136e-06,0.0,0.6251473373093197,0.0,9.230289366831015e-06,0.0
16,antithesis,0.0,10.0,10.0,993.2553944550932,0.0,53.92407879414211,0.0,7.343300946723072,0.0,180.0,14.564797744333195,7.095511407607802e-07,0.0,0.025157010770854648,0.0,9.230289366831015e-06,0.0
16,hypothesis,0.0,10.0,50.0,509.79591186727424,0.0,18.552411044619685,0.0,4.307249823799993,0.0,-9.25,13.505400154506098,9.045469435032136e-06,0.0,0.6251473373093197,0.0,9.230289366831015e-06,0.0
16,antithesis,0.0,10.0,50.0,993.2553944550932,0.0,36.14639097971878,0.0,6.01218604001253,0.0,180.0,14.564797744333195,7.095511407607802e-07,0.0,0.025157010770854648,0.0,9.230289366831015e-06,0.0
16,hypothesis,0.0,10.0,100.0,509.79591186727424,0.0,11.252606110153124,0.0,3.354488949178699,0.0,-9.25,13.505400154506098,9.045469435032136e-06,0.0,0.6251473373093197,0.0,9.230289366831015e-06,0.0
16,antithesis,0.0,10.0,100.0,993.2553944550932,0.0,21.923894367159615,0.0,4.682294775765851,0.0,180.0,14.564797744333195,7.095511407607802e-07,0.0,0.025157010770854648,0.0,9.230289366831015e-06,0.0
16,hypothesis,0.0,30.0,10.0,509.79591186727424,0.0,22.659966020419677,0.0,4.760247474703819,0.0,-9.25,13.505400154506098,9.045469435032136e-06,0.0,0.6251473373093197,0.0,9.230289366831015e-06,0.0
16,antithesis,0.0,30.0,10.0,993.2553944550932,0.0,44.149301640164396,0.0,6.644493332088358,0.0,180.0,14.564797744333195,7.095511407607802e-07,0.0,0.025157010770854648,0.0,9.230289366831015e-06,0.0
16,hypothesis,0.0,30.0,50.0,509.79591186727424,0.0,6.825050607477586,0.0,2.6124778673688773,0.0,-9.25,13.505400154506098,9.045469435032136e-06,0.0,0.6251473373093197,0.0,9.230289366831015e-06,0.0
16,antithesis,0.0,30.0,50.0,993.2553944550932,0.0,13.297514113983409,0.0,3.6465742984328355,0.0,180.0,14.564797744333195,7.095511407607802e-07,0.0,0.025157010770854648,0.0,9.230289366831015e-06,0.0
16,hypothesis,0.0,30.0,100.0,509.79591186727424,0.0,1.5228746350676121,0.0,1.2340440166919804,0.0,-9.25,13.505400154506098,9.045469435032136e-06,0.0,0.6251473373093197,0.0,9.230289366831015e-06,0.0
16,antithesis,0.0,30.0,100.0,993.2553944550932,0.0,2.9670764538291254,0.0,1.7225174756335067,0.0,180.0,14.564797744333195,7.095511407607802e-07,0.0,0.025157010770854648,0.0,9.230289366831015e-06,0.0
16,hypothesis,0.0,100.0,10.0,509.79591186727424,0.0,11.252606110153124,0.0,3.354488949178699,0.0,-9.25,13.505400154506098,9.045469435032136e-06,0.0,0.6251473373093197,0.0,9.230289366831015e-06,0.0
16,antithesis,0.0,100.0,10.0,993.2553944550932,0.0,21.923894367159615,0.0,4.682294775765851,0.0,180.0,14.564797744333195,7.095511407607802e-07,0.0,0.025157010770854648,0.0,9.230289366831015e-06,0.0
16,hypothesis,0.0,100.0,50.0,509.79591186727424,0.0,0.2060986700707284,0.0,0.4539699004955167,0.0,-9.25,13.505400154506098,9.045469435032136e-06,0.0,0.6251473373093197,0.0,9.230289366831015e-06,0.0
16,antithesis,0.0,100.0,50.0,993.2553944550932,0.0,0.40155013226364883,0.0,0.6336719439210462,0.0,180.0,14.564797744333195,7.095511407607802e-07,0.0,0.025157010770854648,0.0,9.230289366831015e-06,0.0
16,hypothesis,0.0,100.0,100.0,509.79591186727424,0.0,0.0013886819155185701,0.0,0.037131568932682886,0.0,-9.25,13.505400154506098,9.045469435032136e-06,0.0,0.6251473373093197,0.0,9.230289366831015e-06,0.0
