trials,mode,curvature,loss_mm,distance_um,emit_photons_mean,emit_photons_sem,det_photons_mean,det_photons_sem,snr_mean,snr_sem,motor_net_steps_mean,motor_net_steps_sem,photon_peak_mean,photon_peak_sem,cilia_phase_reset_mean,cilia_phase_reset_sem,spindle_metric_mean,spindle_metric_sem
16,hypothesis,1.0,3.0,10.0,764.6938678009114,0.0,5.677469522315066,0.0,2.37091888613036,0.0,-21.5,19.47776510109241,1.3568204152548204e-05,0.0,0.6251473373093199,0.0,1.0840679664132227e-05,0.0
16,antithesis,1.0,3.0,10.0,331.085131485031,0.0,5.243948481165755,0.0,2.278602117745977,0.0,168.625,17.925511382756515,2.3651704692026004e-07,0.0,0.025157010770854648,0.0,1.0840679664132227e-05,0.0
16,hypothesis,1.0,3.0,20.0,764.6938678009114,0.0,5.666576055903234,0.0,2.3686432306915455,0.0,-21.5,19.47776510109241,1.3568204152548204e-05,0.0,0.6251473373093199,0.0,1.0840679664132227e-05,0.0
16,antithesis,1.0,3.0,20.0,331.085131485031,0.0,5.222530531248133,0.0,2.27394408901998,0.0,168.625,17.925511382756515,2.3651704692026004e-07,0.0,0.025157010770854648,0.0,1.0840679664132227e-05,0.0
16,hypothesis,1.0,3.0,35.0,764.6938678009114,0.0,5.649693669078885,0.0,2.3651121579792633,0.0,-21.5,19.47776510109241,1.3568204152548204e-05,0.0,0.6251473373093199,0.0,1.0840679664132227e-05,0.0
16,antithesis,1.0,3.0,35.0,331.085131485031,0.0,5.1895206179763695,0.0,2.266746266687477,0.0,168.625,17.925511382756515,2.3651704692026004e-07,0.0,0.025157010770854648,0.0,1.0840679664132227e-05,0.0
16,hypothesis,1.0,5.0,10.0,764.6938678009114,0.0,5.67023891201762,0.0,2.369408648695523,0.0,-21.5,19.47776510109241,1.3568204152548204e-05,0.0,0.6251473373093199,0.0,1.0840679664132227e-05,0.0
16,antithesis,1.0,5.0,10.0,331.085131485031,0.0,5.229721796076555,0.0,2.2755091263661114,0.0,168.625,17.925511382756515,2.3651704692026004e-07,0.0,0.025157010770854648,0.0,1.0840679664132227e-05,0.0
16,hypothesis,1.0,5.0,20.0,764.6938678009114,0.0,5.65160216790639,0.0,2.3655115984963673,0.0,-21.5,19.47776510109241,1.3568204152548204e-05,0.0,0.6251473373093199,0.0,1.0840679664132227e-05,0.0
16,antithesis,1.0,5.0,20.0,331.085131485031,0.0,5.193241184532409,0.0,2.2675586799033494,0.0,168.625,17.925511382756515,2.3651704692026004e-07,0.0,0.025157010770854648,0.0,1.0840679664132227e-05,0.0
16,hypothesis,1.0,5.0,35.0,764.6938678009114,0.0,5.6220929354356715,0.0,2.3593278832685893,0.0,-21.5,19.47776510109241,1.3568204152548204e-05,0.0,0.6251473373093199,0.0,1.0840679664132227e-05,0.0
16,antithesis,1.0,5.0,35.0,331.085131485031,0.0,5.136027219085456,0.0,2.255033231742602,0.0,168.625,17.925511382756515,2.3651704692026004e-07,0.0,0.025157010770854648,0.0,1.0840679664132227e-05,0.0
16,hypothesis,1.0,7.0,10.0,764.6938678009114,0.0,5.662881188176891,0.0,2.3678708726244584,0.0,-21.5,19.47776510109241,1.3568204152548204e-05,0.0,0.6251473373093199,0.0,1.0840679664132227e-05,0.0
16,antithesis,1.0,7.0,10.0,331.085131485031,0.0,5.215287041375724,0.0,2.272366596268746,0.0,168.625,17.925511382756515,2.3651704692026004e-07,0.0,0.025157010770854648,0.0,1.0840679664132227e-05,0.0
16,hypothesis,1.0,7.0,20.0,764.6938678009114,0.0,5.636101000567117,0.0,2.362265317906927,0.0,-21.5,19.47776510109241,1.3568204152548204e-05,0.0,0.6251473373093199,0.0,1.0840679664132227e-05,0.0
16,antithesis,1.0,7.0,20.0,331.085131485031,0.0,5.163103401669958,0.0,2.260969477421643,0.0,168.625,17.925511382756515,2.3651704692026004e-07,0.0,0.025157010770854648,0.0,1.0840679664132227e-05,0.0
16,hypothesis,1.0,7.0,35.0,764.6938678009114,0.0,5.59278907885375,0.0,2.353171124542497,0.0,-21.5,19.47776510109241,1.3568204152548204e-05,0.0,0.6251473373093199,0.0,1.0840679664132227e-05,0.0
16,antithesis,1.0,7.0,35.0,331.085131485031,0.0,5.079867369159465,0.0,2.2426705207086424,0.0,168.625,17.925511382756515,2.3651704692026004e-07,0.0,0.025157010770854648,0.0,1.0840679664132227e-05,0.0
16,hypothesis,1.0,10.0,10.0,764.6938678009114,0.0,5.65160216790639,0.0,2.3655115984963673,0.0,-21.5,19.47776510109241,1.3568204152548204e-05,0.0,0.6251473373093199,0.0,1.0840679664132227e-05,0.0
16,antithesis,1.0,10.0,10.0,331.085131485031,0.0,5.193241184532409,0.0,2.2675586799033494,0.0,168.625,17.925511382756515,2.3651704692026004e-07,0.0,0.025157010770854648,0.0,1.0840679664132227e-05,0.0
16,hypothesis,1.0,10.0,20.0,764.6938678009114,0.0,5.611827116265728,0.0,2.3571728581868276,0.0,-21.5,19.47776510109241,1.3568204152548204e-05,0.0,0.6251473373093199,0.0,1.0840679664132227e-05,0.0
16,antithesis,1.0,10.0,20.0,331.085131485031,0.0,5.1162793245253795,0.0,2.250693783128199,0.0,168.625,17.925511382756515,2.3651704692026004e-07,0.0,0.025157010770854648,0.0,1.0840679664132227e-05,0.0
16,hypothesis,1.0,10.0,35.0,764.6938678009114,0.0,5.545455771346298,0.0,2.343192198792522,0.0,-21.5,19.47776510109241,1.3568204152548204e-05,0.0,0.6251473373093199,0.0,1.0840679664132227e-05,0.0
