trials,mode,curvature,loss_mm,distance_um,win_ns,emit_photons_mean,emit_photons_sem,gate_photons_mean,gate_photons_sem,coincidence_ratio_mean,coincidence_ratio_sem,peak_sharpness_mean,peak_sharpness_sem,p2rms_mean,p2rms_sem,det_photons_mean,det_photons_sem,snr_mean,snr_sem,motor_net_steps_mean,motor_net_steps_sem,photon_peak_mean,photon_peak_sem,cilia_phase_reset_mean,cilia_phase_reset_sem,spindle_metric_mean,spindle_metric_sem
64,hypothesis,0.9,5.0,10.0,0.25,1478.3299416378,0.010020915568724661,1478.3237090881566,0.01002869568373792,0.9999957840582286,2.6497716102321744e-08,118.48419050186075,0.20563290868249393,13.261146163206785,0.013607129182404957,337.49400264520517,0.002289501701696938,18.371009836031877,6.231322564702048e-05,12.09375,8.310376675643013,2.4857382138667223e-05,4.3184548539661235e-08,0.5924209525093038,0.0010281645434124696,1.0734379292729453e-05,2.134322410202828e-22
64,antithesis,0.9,5.0,10.0,0.25,803.3419687693752,16.581087169732353,99.12510658295042,2.628843610919477,0.12273901498444087,0.0009282954719590998,5.253075001799862,0.0433969988572455,3.26725855498951,0.01521271738356047,22.629772341233252,0.6001520148281551,4.733096526175758,0.06010171406797295,194.125,8.81634428702178,6.026670371078666e-07,1.6377767813767936e-08,0.026265375008999312,0.00021698499428622752,1.0734379292729453e-05,2.134322410202828e-22
64,hypothesis,0.9,5.0,20.0,0.25,1478.3285004911677,0.010237870299615662,1478.3222346130276,0.010243673424767393,0.9999957615099522,3.437435648361161e-08,118.25523227925862,0.278774519105037,13.246817751433694,0.018396203749114277,321.03390571017644,0.0022245261630890866,17.917419051370075,6.207741659276705e-05,12.0625,8.345939126353226,2.4809330706456536e-05,5.855600691045318e-08,0.591276161396293,0.001393872595525184,1.0734379292729453e-05,2.134322410202828e-22
64,antithesis,0.9,5.0,20.0,0.25,817.9149421138925,12.907701166685314,101.05888536566667,2.510050511482539,0.12282159648615079,0.001195864956761134,5.256859917315408,0.05609172534204052,3.265704348916471,0.018732639074295107,21.946046616926843,0.5450850297479282,4.665112963607345,0.05386161702957234,194.5625,8.804926104761893,6.145416744866926e-07,1.5938664088519112e-08,0.02628429958657704,0.0002804586267102026,1.0734379292729453e-05,2.134322410202828e-22
64,hypothesis,0.9,5.0,35.0,0.25,1478.3204329667346,0.010301127355694604,1478.3141444771704,0.010317399457611684,0.9999957461883494,3.3367521993685136e-08,117.98804307268801,0.22607116986091605,13.22855000599379,0.014860346924299389,297.83548499610845,0.002078643218585463,17.25791078788548,6.0223728942386686e-05,12.0,8.353309390761112,2.4753144162960004e-05,4.748703769374511e-08,0.5899402153634401,0.0011303558493045798,1.0734379292729453e-05,2.134322410202828e-22
64,antithesis,0.9,5.0,35.0,0.25,807.8069562673329,12.401830430315735,100.54417670718075,2.0208102853280994,0.12412358309413396,0.0011343075646963996,5.316493674187971,0.053022034903453245,3.2850063990694243,0.01796034481245953,20.256603608232645,0.4071320115987116,4.486473098710651,0.0451035383432831,191.6875,8.531596125021167,6.11587377586233e-07,1.262328547719598e-08,0.026582468370939857,0.0002651101745172662,1.0734379292729453e-05,2.134322410202828e-22
64,hypothesis,0.9,7.0,10.0,0.25,1478.3292303329054,0.00914945941888243,1478.3230060851204,0.009155542722277844,0.9999957896725482,2.6046738356918774e-08,118.15882098240655,0.243553578423643,13.240663014966223,0.01588770010469291,330.81101632765194,0.0020487771485134406,18.188210910444344,5.632181493714139e-05,12.0625,8.33404386851791,2.4789112311505754e-05,5.115085780451327e-08,0.5907941049120328,0.0012177678921182153,1.0734379292729453e-05,2.134322410202828e-22
64,antithesis,0.9,7.0,10.0,0.25,812.2381843843867,11.838889485895274,100.92414551375371,1.9169599592989774,0.12400642003336057,0.0010772183183845388,5.312360424135772,0.04985540158877172,3.287146461504318,0.016483326501977345,22.584251893515024,0.42896678857380593,4.739151619032846,0.044488953566236375,191.75,9.054673002080373,6.14000960242612e-07,1.197950622574889e-08,0.026561802120678858,0.00024927700794385863,1.0734379292729453e-05,2.134322410202828e-22
64,hypothesis,0.9,7.0,20.0,0.25,1478.330338637883,0.009851631731752148,1478.3240637591964,0.009857332260576581,0.9999957554269906,3.0540220282963345e-08,117.76298518657427,0.22587308453161986,13.213984366876373,0.015158282911003886,308.4463678601488,0.002056692715150173,17.562641248945223,5.855355041886047e-05,11.9375,8.334520004794365,2.4706084961908816e-05,4.744036601140886e-08,0.5888149259328713,0.0011293654226580989,1.0734379292729453e-05,2.134322410202828e-22
64,antithesis,0.9,7.0,20.0,0.25,816.6280776470032,12.053791623292652,101.47602199956039,1.9015840805569728,0.12401507554282466,0.0009766625161479882,5.31006951299641,0.04512028095906363,3.2822407585529216,0.01496499011506043,21.172563700998772,0.396757867376513,4.588917888881847,0.04261237339846041,191.125,8.726882727690176,6.170195742334453e-07,1.1811563653358819e-08,0.026550347564982053,0.00022560140479531817,1.0734379292729453e-05,2.134322410202828e-22
64,hypothesis,0.9,7.0,35.0,0.25,1478.33651236403,0.009504275007872995,1478.3301965014393,0.009502975651587026,0.9999957277237186,3.687382091428975e-08,118.0378587478295,0.2950273947674742,13.232556550624729,0.019364898726736753,277.7029809172006,0.0017851253206316153,16.664422604202827,5.3561192910160364e-05,12.0625,8.329876515167348,2.4763850019400326e-05,6.193442324838058e-08,0.5901892937391475,0.0014751369738373705,1.0734379292729453e-05,2.134322410202828e-22
