trials,mode,curvature,loss_mm,distance_um,emit_photons_mean,emit_photons_sem,det_photons_mean,det_photons_sem,snr_mean,snr_sem,motor_net_steps_mean,motor_net_steps_sem,photon_peak_mean,photon_peak_sem,cilia_phase_reset_mean,cilia_phase_reset_sem,spindle_metric_mean,spindle_metric_sem
24,hypothesis,0.9,2.0,10.0,739.2040722075475,0.0,5.721576536786031,0.0,2.3801104582982897,0.0,-3.0,14.948219805793562,1.3115930680796597e-05,0.0,0.6251473373093198,0.0,1.0734379292729455e-05,0.0
24,antithesis,0.9,2.0,10.0,354.73406944824757,1.1852672176762257e-14,5.395032706326064,0.0,2.311193429913045,0.0,188.08333333333334,15.66102851059476,2.5341112170027865e-07,0.0,0.02515701077085465,0.0,1.0734379292729455e-05,0.0
24,hypothesis,0.9,2.0,20.0,739.2040722075475,0.0,5.7151289966052685,1.8519800276191027e-16,2.378769028416089,0.0,-3.0,14.948219805793562,1.3115930680796597e-05,0.0,0.6251473373093198,0.0,1.0734379292729455e-05,0.0
24,antithesis,0.9,2.0,20.0,354.73406944824757,1.1852672176762257e-14,5.383099963403968,0.0,2.3086360634627225,0.0,188.08333333333334,15.66102851059476,2.5341112170027865e-07,0.0,0.02515701077085465,0.0,1.0734379292729455e-05,0.0
24,hypothesis,0.9,2.0,35.0,739.2040722075475,0.0,5.705240961356412,0.0,2.3767103224082367,0.0,-3.0,14.948219805793562,1.3115930680796597e-05,0.0,0.6251473373093198,0.0,1.0734379292729455e-05,0.0
24,antithesis,0.9,2.0,35.0,354.73406944824757,1.1852672176762257e-14,5.36485002273819,0.0,2.3047193376497535,0.0,188.08333333333334,15.66102851059476,2.5341112170027865e-07,0.0,0.02515701077085465,0.0,1.0734379292729455e-05,0.0
24,hypothesis,0.9,2.0,50.0,739.2040722075475,0.0,5.695087521381701,0.0,2.3745945013361367,0.0,-3.0,14.948219805793562,1.3115930680796597e-05,0.0,0.6251473373093198,0.0,1.0734379292729455e-05,0.0
24,antithesis,0.9,2.0,50.0,354.73406944824757,1.1852672176762257e-14,5.346173291102727,1.8519800276191027e-16,2.3007041121874545,0.0,188.08333333333334,15.66102851059476,2.5341112170027865e-07,0.0,0.02515701077085465,0.0,1.0734379292729455e-05,0.0
24,hypothesis,0.9,3.0,10.0,739.2040722075475,0.0,5.718367068024238,1.8519800276191027e-16,2.3794428133194407,0.0,-3.0,14.948219805793562,1.3115930680796597e-05,0.0,0.6251473373093198,0.0,1.0734379292729455e-05,0.0
24,antithesis,0.9,3.0,10.0,354.73406944824757,1.1852672176762257e-14,5.389089561081746,0.0,2.3099200783254665,0.0,188.08333333333334,15.66102851059476,2.5341112170027865e-07,0.0,0.02515701077085465,0.0,1.0734379292729455e-05,0.0
24,hypothesis,0.9,3.0,20.0,739.2040722075475,0.0,5.708566164798621,1.8519800276191027e-16,2.377402834455641,0.0,-3.0,14.948219805793562,1.3115930680796597e-05,0.0,0.6251473373093198,0.0,1.0734379292729455e-05,0.0
24,antithesis,0.9,3.0,20.0,354.73406944824757,1.1852672176762257e-14,5.370980436625611,0.0,2.3060357633950384,0.0,188.08333333333334,15.66102851059476,2.5341112170027865e-07,0.0,0.02515701077085465,0.0,1.0734379292729455e-05,0.0
24,hypothesis,0.9,3.0,35.0,739.2040722075475,0.0,5.69336905270706,0.0,2.374236212267538,0.0,-3.0,14.948219805793562,1.3115930680796597e-05,0.0,0.6251473373093198,0.0,1.0734379292729455e-05,0.0
24,antithesis,0.9,3.0,35.0,354.73406944824757,1.1852672176762257e-14,5.343018554934801,0.0,2.300025197835863,0.0,188.08333333333334,15.66102851059476,2.5341112170027865e-07,0.0,0.02515701077085465,0.0,1.0734379292729455e-05,0.0
24,hypothesis,0.9,3.0,50.0,739.2040722075475,0.0,5.677558796063103,0.0,2.370937340418984,0.0,-3.0,14.948219805793562,1.3115930680796597e-05,0.0,0.6251473373093198,0.0,1.0734379292729455e-05,0.0
24,antithesis,0.9,3.0,50.0,354.73406944824757,1.1852672176762257e-14,5.314079514706766,0.0,2.2937880014514502,0.0,188.08333333333334,15.66102851059476,2.5341112170027865e-07,0.0,0.02515701077085465,0.0,1.0734379292729455e-05,0.0
24,hypothesis,0.9,5.0,10.0,739.2040722075475,0.0,5.711862102536298,0.0,2.3780890525731966,0.0,-3.0,14.948219805793562,1.3115930680796597e-05,0.0,0.6251473373093198,0.0,1.0734379292729455e-05,0.0
24,antithesis,0.9,5.0,10.0,354.73406944824757,1.1852672176762257e-14,5.377063669539502,0.0,2.3073413152245115,0.0,188.08333333333334,15.66102851059476,2.5341112170027865e-07,0.0,0.02515701077085465,0.0,1.0734379292729455e-05,0.0
24,hypothesis,0.9,5.0,20.0,739.2040722075475,0.0,5.695087521381701,0.0,2.3745945013361367,0.0,-3.0,14.948219805793562,1.3115930680796597e-05,0.0,0.6251473373093198,0.0,1.0734379292729455e-05,0.0
24,antithesis,0.9,5.0,20.0,354.73406944824757,1.1852672176762257e-14,5.346173291102727,1.8519800276191027e-16,2.3007041121874545,0.0,188.08333333333334,15.66102851059476,2.5341112170027865e-07,0.0,0.02515701077085465,0.0,1.0734379292729455e-05,0.0
24,hypothesis,0.9,5.0,35.0,739.2040722075475,0.0,5.6685027127188645,0.0,2.369045684034045,0.0,-3.0,14.948219805793562,1.3115930680796597e-05,0.0,0.6251473373093198,0.0,1.0734379292729455e-05,0.0
