trials,mode,curvature,loss_mm,distance_um,emit_photons_mean,emit_photons_sem,det_photons_mean,det_photons_sem,snr_mean,snr_sem,motor_net_steps_mean,motor_net_steps_sem,photon_peak_mean,photon_peak_sem,cilia_phase_reset_mean,cilia_phase_reset_sem,spindle_metric_mean,spindle_metric_sem
24,hypothesis,0.8,3.0,5.0,713.7142766141839,0.0,5.749622864952255,0.0,2.391864605482619,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,3.0,5.0,382.02130555965124,0.0,5.526509845532549,1.8519800276191027e-16,2.344997502464091,0.0,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,3.0,8.0,713.7142766141839,0.0,5.747206956805676,0.0,2.391362039143689,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,3.0,8.0,382.02130555965124,0.0,5.52234119770693,0.0,2.34411291926789,0.0,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,3.0,10.0,713.7142766141839,0.0,5.745585368975179,0.0,2.391024651070773,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,3.0,10.0,382.02130555965124,0.0,5.519544711705496,0.0,2.3435193204116906,0.0,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,3.0,15.0,713.7142766141839,0.0,5.741492649537875,0.0,2.390172906795459,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,3.0,15.0,382.02130555965124,0.0,5.512492246922686,1.8519800276191027e-16,2.342021653881434,0.0,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,3.0,20.0,713.7142766141839,0.0,5.737344035789497,0.0,2.3893092203605777,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,3.0,20.0,382.02130555965124,0.0,5.505351606754412,1.8519800276191027e-16,2.3405042859721985,0.0,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,3.0,30.0,713.7142766141839,0.0,5.728876413479029,0.0,2.3875454038957638,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,3.0,30.0,382.02130555965124,0.0,5.4908024169675835,0.0,2.3374095719184935,0.0,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,3.0,35.0,713.7142766141839,0.0,5.724556034818897,0.0,2.3866449613264327,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,3.0,35.0,382.02130555965124,0.0,5.483392173594223,0.0,2.335831785554193,0.0,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,3.0,40.0,713.7142766141839,0.0,5.720177021712234,1.8519800276191027e-16,2.3857319515094404,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,3.0,40.0,382.02130555965124,0.0,5.475890367794687,0.0,2.3342334174248016,0.0,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,3.0,50.0,713.7142766141839,0.0,5.711240290357478,0.0,2.383867587440274,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,3.0,50.0,382.02130555965124,0.0,5.460608677273928,0.0,2.3309740420718885,0.0,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,5.0,5.0,713.7142766141839,0.0,5.7469373039438,1.8519800276191027e-16,2.39130593838432,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,5.0,5.0,382.02130555965124,0.0,5.521876084758105,0.0,2.34401420203133,0.0,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,5.0,8.0,713.7142766141839,0.0,5.74286306658335,0.0,2.390458140907152,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,5.0,8.0,382.02130555965124,0.0,5.514852824055791,0.0,2.342523054362068,0.0,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,5.0,10.0,713.7142766141839,0.0,5.740116022060312,0.0,2.3898863457901953,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,5.0,10.0,382.02130555965124,0.0,5.510121872534081,0.0,2.3415180643694233,0.0,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,5.0,15.0,713.7142766141839,0.0,5.733138851178585,1.8519800276191027e-16,2.3884334378846805,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,antithesis,0.8,5.0,15.0,382.02130555965124,0.0,5.498121945611094,0.0,2.3389669984790964,0.0,190.0,15.296584822971985,2.7290428490799236e-07,0.0,0.02515701077085465,0.0,1.0619502718375818e-05,3.5323715736753516e-22
24,hypothesis,0.8,5.0,20.0,713.7142766141839,0.0,5.72600264161608,1.8519800276191027e-16,2.3869464973420094,0.0,3.6666666666666665,15.049034186674268,1.266365720904499e-05,0.0,0.6251473373093197,0.0,1.0619502718375818e-05,3.5323715736753516e-22
