trials,mode,N,curvature,loss_mm,alpha,ell_um,det_x_um,det_y_um,det_z_um,node_radius_um,kappa_sigma,emit_photons_total_mean,emit_photons_total_sem,det_photons_total_mean,det_photons_total_sem,snr_mean,snr_sem,R_before_mean,R_before_sem,R_after_mean,R_after_sem,sync_gain_mean,sync_gain_sem,mean_phase_reset_mean,mean_phase_reset_sem
12,hypothesis,16,0.8,3.0,0.1,5.0,0.0,0.0,4.0,8.0,0.1,77061.50549052862,615.7505416812116,6.057247218604485,2.3386836480691732e-05,2.4489330336242876,4.727631634033505e-06,0.20474027829841668,0.02572914557438412,0.20521109002158436,0.0353071503314897,0.0004708117231676222,0.03297505475495262,0.17385062744777277,0.006056918166024217
12,antithesis,16,0.8,3.0,0.1,5.0,0.0,0.0,4.0,8.0,0.1,41385.94580144902,358.2356081462666,6.054875439973681,4.5238736543585647e-05,2.448453533728538,9.14670637676175e-06,0.20474027829841668,0.02572914557438412,0.20394817794678602,0.034145939660097754,-0.0007921003516307088,0.03151746498364848,0.16919842746075353,0.005740387049867093
12,hypothesis,16,0.8,3.0,0.1,8.0,0.0,0.0,4.0,8.0,0.1,90157.56454073642,677.1401665675087,6.057647101004046,1.8898263845320288e-05,2.449013868157848,3.820143158559501e-06,0.20474027829841668,0.02572914557438412,0.20568008740449092,0.03547535269579999,0.0009398091060742499,0.033295826964159586,0.17575108569658462,0.00617077433579806
12,antithesis,16,0.8,3.0,0.1,8.0,0.0,0.0,4.0,8.0,0.1,48419.240271741786,400.16840097711764,6.055619619319612,3.6980583442012234e-05,2.4486039937823265,7.4765546693347105e-06,0.20474027829841668,0.02572914557438412,0.2045420908979856,0.03453023675929428,-0.0001981874004310727,0.03214131667783657,0.17217039838979167,0.005807872259354373
12,hypothesis,16,0.8,3.0,0.1,12.0,0.0,0.0,4.0,8.0,0.1,101811.41141413547,645.3188868092592,6.057916668758633,1.4250236786830858e-05,2.4490683586346957,2.8805144065238693e-06,0.20474027829841668,0.02572914557438412,0.2062769516857013,0.035641872503062146,0.0015366733872846348,0.03370638872594937,0.17845866369540017,0.006290103862442912
12,antithesis,16,0.8,3.0,0.1,12.0,0.0,0.0,4.0,8.0,0.1,54680.49295942703,399.7012016933392,6.056121453295522,2.9015680167552545e-05,2.448705450626069,5.866007074686338e-06,0.20474027829841668,0.02572914557438412,0.20513367138683267,0.03488094267799447,0.00039339308841596435,0.03271329359516725,0.17500530305382958,0.006007336132318077
12,hypothesis,16,0.8,3.0,0.1,20.0,0.0,0.0,4.0,8.0,0.1,114684.341478159,550.278384386566,6.0581507472693135,9.713477714630222e-06,2.4491156743233202,1.9634245891334867e-06,0.20474027829841668,0.02572914557438412,0.2071048819142485,0.03577216977201896,0.002364603615831823,0.03416679649238901,0.18183841629356765,0.006428825082745145
12,antithesis,16,0.8,3.0,0.1,20.0,0.0,0.0,4.0,8.0,0.1,61598.448642933334,380.18272893525335,6.056557288885663,2.1746824722672345e-05,2.4487935610169345,4.396328902441134e-06,0.20474027829841668,0.02572914557438412,0.20584009484302723,0.03521865222233967,0.0010998165446105222,0.03329602552844621,0.17808333190031225,0.006296607710354109
12,hypothesis,16,0.8,3.0,0.2,5.0,0.0,0.0,4.0,8.0,0.1,96964.15572298974,1185.4339106341747,6.057810071852703,2.811167038199175e-05,2.4490468112126185,5.682490804294092e-06,0.20474027829841668,0.02572914557438412,0.20436967955555183,0.03487732061987229,-0.00037059874286489897,0.032053752786187044,0.16872344734554198,0.005766707731679038
12,antithesis,16,0.8,3.0,0.2,5.0,0.0,0.0,4.0,8.0,0.1,52066.28819127631,651.6582084704611,6.055922596093627,5.1828879813239874e-05,2.4486652475946733,1.0478272200940233e-05,0.20474027829841668,0.02572914557438412,0.20333573492924414,0.033951367501744066,-0.001404543369172601,0.031068514414958268,0.16667210654005285,0.005246608052955782
12,hypothesis,16,0.8,3.0,0.2,8.0,0.0,0.0,4.0,8.0,0.1,123156.27382340531,1305.8816769641162,6.0582763532624355,1.9310051626922355e-05,2.4491410634057855,3.903180463251576e-06,0.20474027829841668,0.02572914557438412,0.2049520420668113,0.03520441763376296,0.0002117637683945947,0.03268740968906962,0.17237254387607115,0.00589349260979849
12,antithesis,16,0.8,3.0,0.2,8.0,0.0,0.0,4.0,8.0,0.1,66132.87713186184,728.360783298152,6.056790619051287,3.5975078012884334e-05,2.4488407306468045,7.272579910685572e-06,0.20474027829841668,0.02572914557438412,0.20426590871780728,0.0345064205077418,-0.00047436958060941584,0.031994605214377,0.17121619068606234,0.005476389815374106
12,hypothesis,16,0.8,3.0,0.2,12.0,0.0,0.0,4.0,8.0,0.1,146463.96757020341,1234.86277841274,6.058551202924039,1.3024438531199368e-05,2.44919661867511,2.6325960751019805e-06,0.20474027829841668,0.02572914557438412,0.20574936738979208,0.03553263940652846,0.0010090890913753887,0.03337212060619797,0.1765761706547128,0.006077874051458825
12,antithesis,16,0.8,3.0,0.2,12.0,0.0,0.0,4.0,8.0,0.1,78655.38250723232,712.8862600042302,6.0573024251130745,2.4965446737376732e-05,2.448944193535542,5.046702636508949e-06,0.20474027829841668,0.02572914557438412,0.205001002295475,0.03503544346536623,0.0002607239970583049,0.032867813978545476,0.1756416901540724,0.005723450224375369
